,房屋户型,房屋套内面积,房屋朝向,装修情况,所在楼层,建筑时间,建筑类型,房屋标题,房屋所在位置,房屋总价,房屋单价,采集时间
1,4室2厅,129.6平米,南,精装,中楼层(共12层),2008年建,塔楼,海伦堡花园 南向跃式四房 望花园  视野开阔 满5没欠款,广州海伦堡    -  沙村 ,252,"19,445元/平",2022/4/30
2,3室2厅,129.65平米,北,精装,低楼层(共26层),2011年建,塔楼,此房望花园带主套、经典户型格局，适合刚需婚房改善、,锦绣新天地    -  新塘南 ,192.8,"14,871元/平",2022/4/30
3,4室2厅,156.69平米,东北,精装,高楼层(共26层),2012年建,塔楼,东北向望花园四房，业主诚心卖，合适可谈,锦绣新天地    -  新塘南 ,240,"15,317元/平",2022/4/30
4,3室2厅,120.98平米,南,精装,低楼层(共18层),2008年建,板塔结合,恒大山水城 3室2厅 南,恒大山水城    -  中新镇 ,193,"15,954元/平",2022/4/30
5,3室1厅,135.94平米,南,精装,中楼层(共11层) ,,塔楼,新塘大3房135平方急出随时看房,顺欣花园    -  新塘北 ,195,"14,345元/平",2022/4/30
6,4室1厅,132.99平米,南,简装,高楼层(共7层),2003年建,板楼,白江地铁口旁，太平洋花园 ，方正4房，仅9800,太平洋花园    -  白江 ,130,"9,776元/平",2022/4/30
7,4室3厅,178.76平米,南,精装,3层,2014年建,暂无数据,永和金地荔湖城公园上城别墅精装保养良好,金地荔湖城公园上城    -  永和 ,399.2,"22,332元/平",2022/4/30
8,3室2厅,74.1平米,西,精装,低楼层(共9层),2003年建,塔楼,嘉仕花园 精装修三房 实用率高 通透对流,嘉仕花园西区    -  滨江东 ,395,"53,307元/平",2022/4/30
9,4室2厅,182.03平米,北,毛坯,中楼层(共26层),2012年建,塔楼,业主诚心放卖，位置好，有地铁，有大型商场,群星新邨    -  白江 ,270,"14,833元/平",2022/4/30
10,5室2厅,204.03平米,东南 南,精装,30层,2013年建,板楼,白江地铁口旁东方名都板楼满五唯一南北对流舒适大五房,东方名都    -  白江 ,490,"24,017元/平",2022/4/30
11,4室2厅,246.21平米,南 北,毛坯,中楼层(共24层),2011年建,塔楼,实用四房、南北对流、景观优美、视野开阔、30平方阳台,翡翠绿洲湖翠苑    -  凤凰城 ,478,"19,415元/平",2022/4/30
12,3室1厅,118.8平米,东 南,简装,高楼层(共26层),1999年建,塔楼,万丰花园，省级，过五唯一，旺松园，三房带主套,万丰花园    -  前进路 ,500,"42,088元/平",2022/4/30
13,3室1厅,122.21平米,南 北,精装,中楼层(共32层),2017年建,塔楼,南北对流改善户型，小区门口就是公立鹤泉，诚心置换,合汇学府名郡    -  白江 ,215,"17,593元/平",2022/4/30
14,3室1厅,102.98平米,南 北,精装,低楼层(共33层),2010年建,塔楼,证够五年 唯一物业 没按揭 南北对流望花园 户型实用,光大花园中海锦榕湾    -  工业大道北 ,825,"80,113元/平",2022/4/30
15,5室1厅,200.26平米,南,精装,1层,2003年建,塔楼,满五唯一 四层联排别墅 有车库和大露台 装修精致温馨,丽江花园棕榈滩    -  南浦 ,820,"40,947元/平",2022/4/30
16,3室1厅,80.36平米,东南,精装,中楼层(共9层),1990年建,塔楼,农讲所板块 全新精装三房 采光好 看房方便,仓边路    -  农讲所 ,325,"40,444元/平",2022/4/30
17,7室2厅,120.01平米,北 南,精装,低楼层(共3层) ,,板楼,省级朝天，精装修低层七房，户型方正,中山六路    -  西门口 ,425,"35,414元/平",2022/4/30
18,3室1厅,47.5平米,东,精装,中楼层(共8层) ,,板楼,洪德路 双地铁 精装修三房 楼梯中层 光线好,洪德路    -  洪德 ,173,"36,422元/平",2022/4/30
19,2室1厅,65.8平米,南,简装,高楼层(共9层),1997年建,塔楼,华为板块 地铁口，花园小区南向两房 有电梯位,华宇苑    -  罗冲围 ,138,"20,973元/平",2022/4/30
20,4室2厅,68.12平米,东南,精装,中楼层(共8层),1995年建,塔楼,鸿运花园 4室2厅 东南,鸿运花园    -  赤岗 ,300,"44,040元/平",2022/4/30
21,2室1厅,59.17平米,南,精装,高楼层(共9层) ,,塔楼,越秀区 马赛克外墙 双阳台 有电梯位置 新装修大两房,西华路    -  西华路 ,198,"33,463元/平",2022/4/30
22,3室1厅,97.94平米,北 南,简装,低楼层(共9层) ,,塔楼,城中安静低层三房，少有放卖，你值得拥有,文德路    -  北京路 ,400,"40,842元/平",2022/4/30
23,3室2厅,111.6平米,东,其他,低楼层(共18层) ,,塔楼,新塘白江地段小区 全新装修未住,假日花园    -  白江 ,223,"19,983元/平",2022/4/30
24,3室2厅,95.95平米,南 北,精装,高楼层(共9层) ,,塔楼,天河南南向大三房 电梯高层  阳台视野很好 望珠江新城,广州开发区宿舍    -  天河南 ,640,"66,702元/平",2022/4/30
25,3室1厅,93.26平米,北 东北,精装,中楼层(共18层),2009年建,塔楼,此房满五唯一税费少，户型方正，中高楼层视野好,富力城北区    -  夏茅 ,275,"29,488元/平",2022/4/30
26,3室1厅,74.11平米,南,精装,中楼层(共9层),1999年建,塔楼,此房视野开阔通风采光好，配套设施齐全，业主诚心放卖,广园云苑新村    -  景泰 ,230,"31,035元/平",2022/4/30
27,3室1厅,93.73平米,北,精装,中楼层(共6层),2002年建,板楼,小区居住率高，生活娱乐配套齐全，房子产权证过五年,祈福新村康怡居    -  祈福新村 ,258,"27,526元/平",2022/4/30
28,3室2厅,99.68平米,西,简装,中楼层(共15层),1999年建,塔楼,百顺台花园  厅出阳台靓户型3房   带主套  双阳台,百顺台花园    -  新市 ,310,"31,100元/平",2022/4/30
29,3室2厅,83平米,北,简装,中楼层(共9层),1999年建,塔楼,云宁居 3室2厅 北,云宁居    -  沙太南 ,298,"35,904元/平",2022/4/30
30,3室1厅,74.25平米,北,简装,中楼层(共9层),1990年建,塔楼,证满五年，产权清晰 格局方正，实用三房，配套齐全,景泰新村    -  景泰 ,200,"26,937元/平",2022/4/30
31,3室2厅,121.88平米,东南,精装,高楼层(共60层) ,,板塔结合,中海花湾锦汇华庭 方正实用三房，精致装修 各付各税,中海锦汇华庭（A区）    -  广钢新城 ,645,"52,921元/平",2022/4/30
